"Donovan Mitchell",,,,1616,3445,5100,6501,8234,9466,9466,9466,,,,,,,,,,,,,,
"Dorell Wright",,18,,,,,,,,,,,,,,,,,,,,,,,
"Dragan Bender",30,234,681,,,,,,,,,,,,,,,,,,,,,,
"Dwight Howard",179,1243,2619,4210,5840,7397,8936,10322,11810,13084,14216,14876,15952,16999,18114,18274,18631,19226,19485,19485,19485,19485,19485,19485,19485
"Dwyane Wade",,,,,,3857,5751,7016,8629,10977,12970,14084,15647,17011,18145,19513,20919,21748,22537,23165,23165,23165,23165,23165,23165
"Dyson Daniels",,176,,,,,,,,,,,,,,,,,,,,,,,
"Džanan Musa",,19,,,,,,,,,,,,,,,,,,,,,,,
"Earl Monroe",,,,,,,4438,6307,7796,8709,9622,10577,12123,13735,15177,16323,17076,17454,17454,17454,17454,17454,17454,17454,17454
"Ed Macauley",,,,,2467,3724,5128,6490,7740,8978,10167,11186,11251,,,,,,,,,,,,
"Eddie Griffin",,642,1306,1306,,,,,,,,,,,,,,,,,,,,,
"Eddie Johnson",,,,,,,,5981,7511,9027,10321,11825,12905,14259,15645,16822,17658,17658,18133,18557,19190,19202,19202,19202,19202
"Eddie Jones",,,,,,,,,,,,,,,,,13486,13979,14155,14155,14155,14155,14155,14155,14155
"Eddy Curry",57,614,1585,2561,3543,4725,6234,6750,6776,,,,,,,,,,,,,,,,
"Elfrid Payton",,,,1275,2232,3189,,,,,,,,,,,,,,,,,,,
"Elgin Baylor",,,,,,,,,,8176,10895,12878,14887,15966,17828,19828,21709,23007,23027,23133,23133,23133,23133,23133,23133
"Elton Brand",,,1138,2788,4245,5545,6761,8292,10208,11871,12312,12852,13646,14804,15448,16179,16551,16722,16765,16827,16827,16827,16827,16827,16827
"Elvin Hayes",,,,,,,5097,7322,9284,10956,12748,14555,16173,18040,19737,21546,23441,24664,25988,26957,27311,27311,27311,27311,27311
"Emmanuel Mudiay",,556,1400,1913,2689,3252,,,,,,,,,,,,,,,,,,,
"Enes Freedom",,304,810,1797,2960,3998,5031,6031,6946,,,,,,,,,,,,,,,,
"Eric Gordon",,264,1584,2960,3544,3729,4843,5544,6690,,,9837,,,,,,,,,,,,,
"Eric Money",,195,837,1750,2930,4292,4998,,,,,,,,,,,,,,,,,,
"Ersan İlyasova",,402,,,,,,,,,,,,,,,,,,,,,,,
"Evan Mobley",,,1034,1863,,,,,,,,,,,,,,,,,,,,,
"Frank Jackson",,,495,,,,,,,,,,,,,,,,,,,,,,
"Frank Ntilikina",,463,709,,,,,,,,,,,,,,,,,,,,,,
"Franz Wagner",,,1197,2246,2246,,,,,,,,,,,,,,,,,,,,
"Fred Brown",,,,,,,,,,,,,,,,,13416,14018,14018,14018,14018,14018,14018,14018,14018
"Gail Goodrich",,,,,,,,,,,9620,11434,13510,15140,16599,16939,18243,19181,19181,19181,19181,19181,19181,19181,19181
"Gary Payton",,,,,,,,,,,,10419,11503,13485,15308,17123,18757,19956,20829,21455,21813,21813,21813,21813,21813
"Gary Trent Jr.",,14,,,,3454,,,,,,,,,,,,,,,,,,,
"Geoff Petrie",,,,,,3163,5133,6904,8371,9734,9734,,,,,,,,,,,,,,
"George Gervin",,,,,,,,,,9077,11298,13849,15892,17859,19383,20708,20708,20708,20708,20708,20708,20708,20708,20708,20708
"George Mikan",,,,,,,,,,,,9830,,,,,,,,,,,,,
"Georgios Papagiannis",,124,,,,,,,,,,,,,,,,,,,,,,,
"Gerald Green",,,511,,,,,,,,,,,,,,,,,,,,,,
"Gerald Wallace",,173,,,,,,,,,,,,,,,,,,,,,,,
"Giannis Antetokounmpo",68,770,1874,3330,5364,7345,9427,10602,12899,14927,15706,15706,15706,15706,15706,15706,15706,15706,15706,15706,15706,15706,15706,15706,15706
"Gilbert Arenas",,,1007,2329,3712,5956,8445,9754,9827,10575,11027,11330,11402,,,,,,,,,,,,
"Glen Rice",,,,,,,,5709,7417,9248,10958,13073,14899,15371,16643,17542,17714,18270,18336,18336,18336,18336,18336,18336,18336
"Glenn Robinson",,,,,2440,4125,5873,6412,8035,9668,11211,12687,13725,14144,14234,14234,14234,14234,14234,14234,14234,14234,14234,14234,14234
"Gordon Hayward",,,,,,3207,4765,6253,7905,8079,,,,,,,,,,,,,,,
"Grant Hill",,,,,,,4722,6434,7487,9393,9448,,,,,,,13592,14577,15489,16545,17044,17137,17137,17137
"Greg Monroe",,,751,1766,3064,4313,5411,6621,7572,8096,,,,,,,,,,,,,,,
"Gus Williams",,,,,,,,,,,,9844,11341,12919,13955,14093,14093,14093,14093,14093,14093,14093,14093,14093,14093
"Ha Seung-Jin",,26,,,,,,,,,,,,,,,,,,,,,,,
"Hakeem Olajuwon",,,,,2651,4015,5785,7769,9768,11579,12720,14481,16709,18882,20902,22706,23813,24422,25586,26119,26770,26946,26946,26946,26946
"Hal Greer",,,,,,,,,,8277,9690,11509,13275,15252,17148,18910,20418,21377,21591,21591,21591,21591,21591,21591,21591
"Harrison Barnes",,,748,1486,2313,,4605,6057,7322,8263,9301,10566,11366,,,,,,,,,,,,
"Henry Ellenson",,16,,,,,,,,,,,,,,,,,,,,,,,
"Hersey Hawkins",,,,,,,4478,6014,7657,8837,10009,11290,12429,13291,13807,14287,14470,14470,14470,14470,14470,14470,14470,14470,14470
"Ike Anigbogu",,13,,,,,,,,,,,,,,,,,,,,,,,
"Isaac Bonga",,52,,,,,,,,,,,,,,,,,,,,,,,
"Isaac Okoro",,100,948,1521,,,,,,,,,,,,,,,,,,,,,
"Isaiah Jackson",,17,506,,,,,,,,,,,,,,,,,,,,,,
"Isaiah Stewart",,537,1126,1624,,,,,,,,,,,,,,,,,,,,,
"Isiah Thomas",,,1225,3079,4827,6547,8156,9827,11404,12862,14354,15130,16575,17966,18822,18822,18822,18822,18822,18822,18822,18822,18822,18822,18822
"Ivica Zubac",,228,,,,,,,,,,,,,,,,,,,,,,,
"J.J. Hickson",,,,,2039,,,,,,,,,,,,,,,,,,,,
"J.R. Smith",,782,1205,2024,2931,4164,5320,6289,6725,8171,9242,10089,11044,,,,,,,,,,,,
"Ja Morant",,,1155,2397,3961,5196,5196,,,,,,,,,,,,,,,,,,
"Jabari Parker",,308,1126,2403,2592,3545,,,,,,,,,,,,,,,,,,,
"Jabari Smith Jr.",,604,604,,,,,,,,,,,,,,,,,,,,,,
"Jack Marin",,,,,,,,,,8015,9537,10373,11326,12173,12538,,,,,,,,,,
"Jack Sikma",,,,,,,,,,8026,9538,10786,12115,13162,14477,15564,16563,17285,17285,17285,17285,17285,17285,17285,17285
"Jack Twyman",,,,,2220,3457,5312,7650,9647,11478,13064,14147,15305,15848,15848,15848,15848,15848,15848,15848,15848,15848,15848,15848,15848
"Jaden Ivey",,,776,,,,,,,,,,,,,,,,,,,,,,
