,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40,Inter,,,Oregon State,5,NCAA
,,,,,,,,,,,,,,,,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44,Inter,,,Mississippi,5,NCAA
,,,,,,,,,,,,,,,,Anžejs Pasečņiks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25,Inter,,,Louisiana Tech,5,NCAA
,,,,,,,,,,,,,,,,Vlatko Čančar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19,49,Inter,,,Ratiopharm Ulm (Germany),5,Inter
,,,,,,,,,,,,,,,,Sasha Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57,Inter,,,Fortitudo Pallacanestro Bologna (Italy),5,Inter
,,,,,,,,,,,,,,,,Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58,Inter,,,CB Gran Canaria (Spain),5,Inter
,,,,,,,,,,,,,,,,Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30,60,Inter,,,Olympiacos B.C. (Greece),5,Inter
,,,,,,,,,,,,,,,,Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23,Inter,,,Elan Bearnais Pau-Orthez (France),5,Inter
,,,,,,,,,,,,,,,,Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26,Inter,,,Universo Treviso Basket (Italy),5,Inter
,,,,,,,,,,,,,,,,Kristaps Porziņģis,New York Knicks,CB Sevilla (Spain),2015,1,4,4,Inter,,,CB Sevilla (Spain),4,Inter
,,,,,,,,,,,,,,,,Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5,35,Inter,,,Olimpia Milano (Italy),4,Inter
,,,,,,,,,,,,,,,,Nikola Radicevic,Denver Nuggets,CB Sevilla (Spain),2015,2,27,57,Inter,,,KK Split (Croatia),4,Inter
,,,,,,,,,,,,,,,,Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5,Inter,,,Ohio,4,NCAA
,,,,,,,,,,,,,,,,Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26,26,Inter,,,Texas Christian,4,
,,,,,,,,,,,,,,,,Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31,Inter,,,College of Charleston,4,
,,,,,,,,,,,,,,,,Marcus Eriksson,Atlanta Hawks,FC Barcelona Basquet (Spain),2015,2,20,50,Inter,,,Southern Methodist,4,
,,,,,,,,,,,,,,,,Dimitrios Agravanis,Atlanta Hawks,Olympiacos B.C. (Greece),2015,2,29,59,Inter,,,La Salle,4,
,,,,,,,,,,,,,,,,Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2014,2,23,53,Inter,,,North Carolina-Charlotte,4,
,,,,,,,,,,,,,,,,Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12,12,Inter,,,Breakers (New Zealand),4,
,,,,,,,,,,,,,,,,Bogdan Bogdanović,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27,Inter,,,Fenerbahce S.K. (Turkey),4,
,,,,,,,,,,,,,,,,Nikola Jokić,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41,Inter,,,BC Zalgiris (Lithuania),4,
,,,,,,,,,,,,,,,,Edy Tavares,Atlanta Hawks,CB Gran Canaria (Spain),2014,2,13,43,Inter,,,Maccabi Tel Aviv B.C. (Israel),4,
,,,,,,,,,,,,,,,,Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,22,52,Inter,,,IMG Academy,4,
,,,,,,,,,,,,,,,,Nemanja Dangubic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,24,54,Inter,,,BC Lietuvos rytas (Lithuania),4,
,,,,,,,,,,,,,,,,Rudy Gobert,Denver Nuggets,Cholet Basket (France),2013,1,27,27,Inter,,,PBC CSKA Moscow (Russia),4,
,,,,,,,,,,,,,,,,Alex Abrines,Oklahoma City Thunder,FC Barcelona Basquet (Spain),2013,2,2,32,Inter,,,Red Star Belgrade (Serbia),3,
,,,,,,,,,,,,,,,,Marko Todorovic,Portland Trail Blazers,FC Barcelona Basquet (Spain),2013,2,15,45,Inter,,,KK Mega Vizura,3,
,,,,,,,,,,,,,,,,Joffrey Lauvergne,Memphis Grizzlies,KK Partizan (Serbia),2013,2,25,55,Inter,,,Joventut Badalona (Spain),3,
,,,,,,,,,,,,,,,,Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2012,2,2,32,Inter,,,Saski Baskonia (Spain),3,
,,,,,,,,,,,,,,,,Kostas Papanikolaou,New York Knicks,Olympiacos B.C. (Greece),2012,2,18,48,Inter,,,P.A.O.K. B.C. (Greece),3,
,,,,,,,,,,,,,,,,Tomislav Zubcic,Toronto Raptors,KK Cibona (Croatia),2012,2,26,56,Inter,,,KK FMP (Serbia),3,
,,,,,,,,,,,,,,,,Jan Vesely,Washington Wizards,KK Partizan (Serbia),2011,1,6,6,Inter,,,KK Buducnost Podgorica (Montenegro),3,
,,,,,,,,,,,,,,,,Donatas Motiejunas,Minnesota Timberwolves,Universo Treviso Basket (Italy),2011,1,20,20,Inter,,,Virtus Pallacanestro Bologna (Italy),3,
,,,,,,,,,,,,,,,,Nikola Mirotic,Houston Rockets,Real Madrid Baloncesto (Spain),2011,1,23,23,Inter,,,Indian Hills Community College,3,
,,,,,,,,,,,,,,,,Bojan Bogdanovic,Miami Heat,KK Partizan (Serbia),2011,2,1,31,Inter,,,Weber State,3,
,,,,,,,,,,,,,,,,Davis Bertans,Indiana Pacers,KK Olimpija (Slovenia),2011,2,12,42,Inter,,,Santa Clara,3,
,,,,,,,,,,,,,,,,Kevin Seraphin,Chicago Bulls,Cholet Basket (France),2010,1,17,17,Inter,,,Eastern Michigan,3,
,,,,,,,,,,,,,,,,Ryan Richards,San Antonio Spurs,CB Gran Canaria (Spain),2010,2,19,49,Inter,,,Boise State,3,
,,,,,,,,,,,,,,,,Rodrigue Beaubois,Oklahoma City Thunder,Cholet Basket (France),2009,1,25,25,Inter,,,Wyoming,3,
,,,,,,,,,,,,,,,,Sergio Llull,Denver Nuggets,Real Madrid Baloncesto (Spain),2009,2,4,34,Inter,,,Hofstra,3,
,,,,,,,,,,,,,,,,Nando De Colo,San Antonio Spurs,Cholet Basket (France),2009,2,23,53,Inter,,,Tulane,3,
,,,,,,,,,,,,,,,,Danilo Gallinari,New York Knicks,Olimpia Milano (Italy),2008,1,6,6,Inter,,,Louisiana-Lafayette,3,
,,,,,,,,,,,,,,,,Nikola Pekovic,Minnesota Timberwolves,KK Partizan (Serbia),2008,2,1,31,Inter,,,Wisconsin-Green Bay,3,
,,,,,,,,,,,,,,,,Goran Dragic,San Antonio Spurs,KK Olimpija (Slovenia),2008,2,15,45,Inter,,,Tennessee Tech,3,
,,,,,,,,,,,,,,,,Marco Belinelli,Golden State Warriors,Fortitudo Pallacanestro Bologna (Italy),2007,1,18,18,Inter,,,Morehead State,3,
,,,,,,,,,,,,,,,,Giorgos Printezis,San Antonio Spurs,Olympiacos B.C. (Greece),2007,2,28,58,Inter,,,Tulsa,3,
,,,,,,,,,,,,,,,,Milovan Rakovic,Dallas Mavericks,KK Mega Leks (Serbia),2007,2,30,60,Inter,,,Alabama-Birmingham,3,
,,,,,,,,,,,,,,,,Andrea Bargnani,Toronto Raptors,Universo Treviso Basket (Italy),2006,1,1,1,Inter,,,Saint Louis,3,
,,,,,,,,,,,,,,,,Joel Freeland,Portland Trail Blazers,CB Gran Canaria (Spain),2006,1,30,30,Inter,,,Rhode Island,3,
