,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Kira Lewis Jr.,New Orleans Pelicans,Alabama,2020,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Aaron Nesmith,Boston Celtics,Vanderbilt,2020,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cole Anthony,Orlando Magic,North Carolina,2020,1,15,15,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Stewart,Portland Trail Blazers,Washington,2020,1,16,16,NCAA,,,,0,
,,,,,,,,,,,,,,,,Josh Green,Dallas Mavericks,Arizona,2020,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,Saddiq Bey,Brooklyn Nets,Villanova,2020,1,19,19,NCAA,,,,0,
,,,,,,,,,,,,,,,,Precious Achiuwa,Miami Heat,Memphis,2020,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyrese Maxey,Philadelphia 76ers,Kentucky,2020,1,21,21,NCAA,,,,0,
,,,,,,,,,,,,,,,,Zeke Nnaji,Denver Nuggets,Arizona,2020,1,22,22,NCAA,,,,0,
,,,,,,,,,,,,,,,,Immanuel Quickley,Oklahoma City Thunder,Kentucky,2020,1,25,25,NCAA,,,,0,
,,,,,,,,,,,,,,,,Payton Pritchard,Boston Celtics,Oregon,2020,1,26,26,NCAA,,,,0,
,,,,,,,,,,,,,,,,Udoka Azubuike,Utah Jazz,Kansas,2020,1,27,27,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaden McDaniels,Los Angeles Lakers,Washington,2020,1,28,28,NCAA,,,,0,
,,,,,,,,,,,,,,,,Malachi Flynn,Toronto Raptors,San Diego State,2020,1,29,29,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyrell Terry,Dallas Mavericks,Stanford,2020,2,1,31,NCAA,,,,0,
,,,,,,,,,,,,,,,,Vernon Carey Jr.,Charlotte Hornets,Duke,2020,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Daniel Oturu,Minnesota Timberwolves,Minnesota,2020,2,3,33,NCAA,,,,0,
,,,,,,,,,,,,,,,,Xavier Tillman,Sacramento Kings,Michigan State,2020,2,5,35,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyler Bey,Philadelphia 76ers,Colorado,2020,2,6,36,NCAA,,,,0,
,,,,,,,,,,,,,,,,Saben Lee,Utah Jazz,Vanderbilt,2020,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Elijah Hughes,New Orleans Pelicans,Syracuse,2020,2,9,39,NCAA,,,,0,
,,,,,,,,,,,,,,,,Robert Woodard II,Memphis Grizzlies,Mississippi State,2020,2,10,40,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tre Jones,San Antonio Spurs,Duke,2020,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,Nick Richards,New Orleans Pelicans,Kentucky,2020,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jahmi'us Ramsey,Sacramento Kings,Texas Tech,2020,2,13,43,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jordan Nwora,Milwaukee Bucks,Louisville,2020,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,CJ Elleby,Portland Trail Blazers,Washington State,2020,2,16,46,NCAA,,,,0,
,,,,,,,,,,,,,,,,Nico Mannion,Golden State Warriors,Arizona,2020,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Joe,Philadelphia 76ers,Arkansas,2020,2,19,49,NCAA,,,,0,
,,,,,,,,,,,,,,,,Skylar Mays,Atlanta Hawks,Louisiana State,2020,2,20,50,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cassius Winston,Oklahoma City Thunder,Michigan State,2020,2,23,53,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cassius Stanley,Indiana Pacers,Duke,2020,2,24,54,NCAA,,,,0,
,,,,,,,,,,,,,,,,Reggie Perry,LA Clippers,Mississippi State,2020,2,27,57,NCAA,,,,0,
,,,,,,,,,,,,,,,,Paul Reed,Philadelphia 76ers,DePaul,2020,2,28,58,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Harris,Toronto Raptors,Nevada-Reno,2020,2,29,59,NCAA,,,,0,
,,,,,,,,,,,,,,,,Zion Williamson,New Orleans Pelicans,Duke,2019,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ja Morant,Memphis Grizzlies,Murray State,2019,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,RJ Barrett,New York Knicks,Duke,2019,1,3,3,NCAA,,,,0,
,,,,,,,,,,,,,,,,De'Andre Hunter,Los Angeles Lakers,Virginia,2019,1,4,4,NCAA,,,,0,
,,,,,,,,,,,,,,,,Darius Garland,Cleveland Cavaliers,Vanderbilt,2019,1,5,5,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jarrett Culver,Phoenix Suns,Texas Tech,2019,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Coby White,Chicago Bulls,North Carolina,2019,1,7,7,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8,8,NCAA,,,,0,
,,,,,,,,,,,,,,,,Rui Hachimura,Washington Wizards,Gonzaga,2019,1,9,9,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cam Reddish,Atlanta Hawks,Duke,2019,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cameron Johnson,Minnesota Timberwolves,North Carolina,2019,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,P.J. Washington,Charlotte Hornets,Kentucky,2019,1,12,12,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyler Herro,Miami Heat,Kentucky,2019,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Romeo Langford,Boston Celtics,Indiana,2019,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Chuma Okeke,Orlando Magic,Auburn,2019,1,16,16,NCAA,,,,0,
,,,,,,,,,,,,,,,,Nickeil Alexander-Walker,Brooklyn Nets,Virginia Tech,2019,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,Matisse Thybulle,Boston Celtics,Washington,2019,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,Brandon Clarke,Oklahoma City Thunder,Gonzaga,2019,1,21,21,NCAA,,,,0,
,,,,,,,,,,,,,,,,Grant Williams,Boston Celtics,Tennessee,2019,1,22,22,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ty Jerome,Philadelphia 76ers,Virginia,2019,1,24,24,NCAA,,,,0,
,,,,,,,,,,,,,,,,Nassir Little,Portland Trail Blazers,North Carolina,2019,1,25,25,NCAA,,,,0,
,,,,,,,,,,,,,,,,Mfiondu Kabengele,Brooklyn Nets,Florida State,2019,1,27,27,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jordan Poole,Golden State Warriors,Michigan,2019,1,28,28,NCAA,,,,0,
,,,,,,,,,,,,,,,,Keldon Johnson,San Antonio Spurs,Kentucky,2019,1,29,29,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kevin Porter Jr.,Milwaukee Bucks,Southern California,2019,1,30,30,NCAA,,,,0,
,,,,,,,,,,,,,,,,Nic Claxton,Brooklyn Nets,Georgia,2019,2,1,31,NCAA,,,,0,
,,,,,,,,,,,,,,,,KZ Okpala,Phoenix Suns,Stanford,2019,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Carsen Edwards,Philadelphia 76ers,Purdue,2019,2,3,33,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bruno Fernando,Philadelphia 76ers,Maryland,2019,2,4,34,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cody Martin,Charlotte Hornets,North Carolina State,2019,2,6,36,NCAA,,,,0,
,,,,,,,,,,,,,,,,Daniel Gafford,Chicago Bulls,Arkansas,2019,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Eric Paschall,Golden State Warriors,Villanova,2019,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,Admiral Schofield,Philadelphia 76ers,Tennessee,2019,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,13,43,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bol Bol,Miami Heat,Oregon,2019,2,14,44,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Roby,Detroit Pistons,Nebraska,2019,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,Talen Horton-Tucker,Orlando Magic,Iowa State,2019,2,16,46,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,17,47,NCAA,,,,0,
,,,,,,,,,,,,,,,,Terance Mann,LA Clippers,Florida State,2019,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Quinndary Weatherspoon,San Antonio Spurs,Mississippi State,2019,2,19,49,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tremont Waters,Boston Celtics,Louisiana State,2019,2,21,51,NCAA,,,,0,
,,,,,,,,,,,,,,,,Marial Shayok,Philadelphia 76ers,Virginia,2019,2,24,54,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kyle Guy,New York Knicks,Virginia,2019,2,25,55,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,26,56,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jordan Bone,New Orleans Pelicans,Tennessee,2019,2,27,57,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dewan Hernandez,Toronto Raptors,Miami (FL),2019,2,29,59,NCAA,,,,0,
,,,,,,,,,,,,,,,,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4,NCAA,,,,0,
,,,,,,,,,,,,,,,,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5,NCAA,,,,0,
,,,,,,,,,,,,,,,,Mo Bamba,Orlando Magic,Texas,2018,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Wendell Carter Jr.,Chicago Bulls,Duke,2018,1,7,7,NCAA,,,,0,
,,,,,,,,,,,,,,,,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kevin Knox II,New York Knicks,Kentucky,2018,1,9,9,NCAA,,,,0,
,,,,,,,,,,,,,,,,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15,NCAA,,,,0,
,,,,,,,,,,,,,,,,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16,NCAA,,,,0,
,,,,,,,,,,,,,,,,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19,NCAA,,,,0,
,,,,,,,,,,,,,,,,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,Grayson Allen,Utah Jazz,Duke,2018,1,21,21,NCAA,,,,0,
,,,,,,,,,,,,,,,,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23,NCAA,,,,0,
,,,,,,,,,,,,,,,,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25,NCAA,,,,0,
,,,,,,,,,,,,,,,,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28,NCAA,,,,0,
,,,,,,,,,,,,,,,,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33,NCAA,,,,0,
,,,,,,,,,,,,,,,,Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4,34,NCAA,,,,0,
,,,,,,,,,,,,,,,,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37,NCAA,,,,0,
,,,,,,,,,,,,,,,,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43,NCAA,,,,0,
,,,,,,,,,,,,,,,,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46,NCAA,,,,0,
,,,,,,,,,,,,,,,,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47,NCAA,,,,0,
,,,,,,,,,,,,,,,,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51,NCAA,,,,0,
,,,,,,,,,,,,,,,,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52,NCAA,,,,0,
,,,,,,,,,,,,,,,,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56,NCAA,,,,0,
,,,,,,,,,,,,,,,,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58,NCAA,,,,0,
,,,,,,,,,,,,,,,,George King,Phoenix Suns,Colorado,2018,2,29,59,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60,NCAA,,,,0,
,,,,,,,,,,,,,,,,Mitchell Robinson,New York Knicks,Western Kentucky,2018,2,6,36,NCAA,,,,0,
,,,,,,,,,,,,,,,,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3,NCAA,,,,0,
,,,,,,,,,,,,,,,,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4,NCAA,,,,0,
,,,,,,,,,,,,,,,,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9,NCAA,,,,0,
,,,,,,,,,,,,,,,,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12,NCAA,,,,0,
,,,,,,,,,,,,,,,,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15,NCAA,,,,0,
,,,,,,,,,,,,,,,,Justin Patton,Chicago Bulls,Creighton,2017,1,16,16,NCAA,,,,0,
,,,,,,,,,,,,,,,,D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,T.J. Leaf,Indiana Pacers,California-Los Angeles,2017,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19,NCAA,,,,0,
,,,,,,,,,,,,,,,,Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22,NCAA,,,,0,
,,,,,,,,,,,,,,,,OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyler Lydon,Utah Jazz,Syracuse,2017,1,24,24,NCAA,,,,0,
,,,,,,,,,,,,,,,,Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28,NCAA,,,,0,
,,,,,,,,,,,,,,,,Derrick White,San Antonio Spurs,Colorado,2017,1,29,29,NCAA,,,,0,
,,,,,,,,,,,,,,,,Josh Hart,Utah Jazz,Villanova,2017,1,30,30,NCAA,,,,0,
,,,,,,,,,,,,,,,,Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31,NCAA,,,,0,
,,,,,,,,,,,,,,,,Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Wes Iwundu,Orlando Magic,Kansas State,2017,2,3,33,NCAA,,,,0,
,,,,,,,,,,,,,,,,Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ivan Rabb,Orlando Magic,California,2017,2,5,35,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9,39,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Damyean Dotson,New York Knicks,Houston,2017,2,14,44,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47,NCAA,,,,0,
,,,,,,,,,,,,,,,,Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Monte Morris,Denver Nuggets,Iowa State,2017,2,21,51,NCAA,,,,0,
,,,,,,,,,,,,,,,,Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53,NCAA,,,,0,
,,,,,,,,,,,,,,,,Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jabari Bird,Boston Celtics,California,2017,2,26,56,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaylen Brown,Boston Celtics,California,2016,1,3,3,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5,NCAA,,,,0,
,,,,,,,,,,,,,,,,Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7,NCAA,,,,0,
,,,,,,,,,,,,,,,,Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9,NCAA,,,,0,
,,,,,,,,,,,,,,,,Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,Taurean Prince,Utah Jazz,Baylor,2016,1,12,12,NCAA,,,,0,
,,,,,,,,,,,,,,,,Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19,NCAA,,,,0,
,,,,,,,,,,,,,,,,Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21,NCAA,,,,0,
,,,,,,,,,,,,,,,,Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22,NCAA,,,,0,
,,,,,,,,,,,,,,,,Brice Johnson,LA Clippers,North Carolina,2016,1,25,25,NCAA,,,,0,
,,,,,,,,,,,,,,,,Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29,NCAA,,,,0,
,,,,,,,,,,,,,,,,Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30,NCAA,,,,0,
,,,,,,,,,,,,,,,,Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cheick Diallo,LA Clippers,Kansas,2016,2,3,33,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34,NCAA,,,,0,
,,,,,,,,,,,,,,,,Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36,NCAA,,,,0,
,,,,,,,,,,,,,,,,Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37,NCAA,,,,0,
,,,,,,,,,,,,,,,,Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40,NCAA,,,,0,
,,,,,,,,,,,,,,,,Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jake Layman,Orlando Magic,Maryland,2016,2,17,47,NCAA,,,,0,
,,,,,,,,,,,,,,,,Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49,NCAA,,,,0,
,,,,,,,,,,,,,,,,Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ben Bentil,Boston Celtics,Providence,2016,2,21,51,NCAA,,,,0,
,,,,,,,,,,,,,,,,Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55,NCAA,,,,0,
,,,,,,,,,,,,,,,,Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56,NCAA,,,,0,
,,,,,,,,,,,,,,,,Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyrone Wallace,Utah Jazz,California,2016,2,30,60,NCAA,,,,0,
,,,,,,,,,,,,,,,,Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3,3,NCAA,,,,0,
,,,,,,,,,,,,,,,,Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Stanley Johnson,Detroit Pistons,Arizona,2015,1,8,8,NCAA,,,,0,
,,,,,,,,,,,,,,,,Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9,NCAA,,,,0,
,,,,,,,,,,,,,,,,Justise Winslow,Miami Heat,Duke,2015,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,Myles Turner,Indiana Pacers,Texas,2015,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,Trey Lyles,Utah Jazz,Kentucky,2015,1,12,12,NCAA,,,,0,
,,,,,,,,,,,,,,,,Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15,NCAA,,,,0,
,,,,,,,,,,,,,,,,Terry Rozier,Boston Celtics,Louisville,2015,1,16,16,NCAA,,,,0,
,,,,,,,,,,,,,,,,Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,Sam Dekker,Houston Rockets,Wisconsin,2015,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jerian Grant,Washington Wizards,Notre Dame,2015,1,19,19,NCAA,,,,0,
