Player,Season_1,Season_2,Season_3,Season_4,Season_5,Season_6,Season_7,Season_8,Season_9,Season_10,Season_11,Season_12,Season_13,Season_14,Season_15,Season_16,Season_17,Season_18,Season_19,Season_20,Season_21,Season_22,Season_23,Season_24,Season_25
Sidney Moncrief,87,185,277,447,752,936,1088,1321,1396,1451,1451,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487
Earl Monroe,0,113,309,706,903,1161,1370,1412,1412,1412,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471
Joel Embiid,0,171,393,513,822,1058,1271,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
Vlade Divac,82,334,373,463,463,619,655,709,813,894,950,1036,1252,1389,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468
Jack Sikma,301,553,729,729,893,923,1033,1033,1033,1227,1322,1427,1447,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461
Amare Stoudemire,85,85,534,534,787,903,903,1258,1316,1377,1392,1392,1431,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461
Bobby Jones,72,238,356,589,824,1080,1183,1231,1337,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453
Clifford Robinson,137,302,529,570,635,682,758,806,831,878,1036,1096,1228,1386,1386,1414,1450,1453,1453,1453,1453,1453,1453,1453,1453
Gail Goodrich,115,148,208,208,350,655,1012,1352,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
Walter Davis,50,382,548,660,787,865,1288,1288,1288,1288,1288,1365,1407,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
Ricky Pierce,0,0,79,223,414,473,674,763,820,996,1333,1373,1373,1424,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447
Bill Sharman,0,15,85,198,343,395,606,838,1059,1278,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
Dan Majerle,172,373,415,545,915,1038,1120,1170,1306,1315,1335,1425,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441
Kenyon Martin,0,336,714,924,986,995,995,1030,1204,1264,1323,1372,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441
Detlef Schrempf,37,68,185,185,246,325,388,466,559,634,970,1173,1334,1334,1418,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432
Dominique Wilkins,47,143,143,400,641,1015,1151,1151,1255,1255,1345,1345,1421,1421,1421,1421,1423,1423,1423,1423,1423,1423,1423,1423,1423
Carlos Boozer,0,0,0,0,400,592,695,892,1094,1175,1372,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
Deron Williams,0,327,586,687,930,930,930,1074,1248,1319,1334,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412
Lamar Odom,0,0,0,0,219,219,353,450,751,1034,1256,1377,1377,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407
Bailey Howell,34,90,290,361,361,548,602,740,1084,1354,1354,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401
Chris Bosh,0,0,0,105,225,225,225,615,811,1090,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388
Vinnie Johnson,2,2,2,2,53,181,232,453,689,928,1134,1362,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387
Marcus Smart,39,111,266,413,420,666,755,1079,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377
Darryl Dawkins,0,131,194,338,650,871,1102,1138,1340,1365,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
DeMar DeRozan,0,0,0,0,167,248,666,890,1117,1271,1271,1271,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
Predrag Stojakovic,24,68,241,389,666,876,986,1008,1008,1177,1233,1233,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367
John Starks,0,0,6,151,398,762,934,1062,1188,1352,1352,1352,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363
Willis Reed,0,0,110,238,495,921,1109,1109,1321,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
Bill Laimbeer,0,0,0,76,208,298,482,755,927,1149,1313,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354
Rudy LaRusso,139,285,468,655,700,865,1032,1032,1235,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
CJ McCollum,4,89,314,404,505,900,1016,1140,1273,1273,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
Steve Smith,48,48,144,201,418,607,706,862,1136,1187,1290,1306,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338
Danny Green,0,5,108,341,554,612,698,822,843,1009,1176,1232,1335,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338
Paul Westphal,43,146,234,635,635,687,1023,1190,1190,1190,1247,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337
David West,41,41,41,41,295,385,385,385,553,855,1142,1142,1200,1276,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335
