"Hathorne Wingo",,,,,,,,,,,,,,,,,11,23,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Tommy Byrnes",24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Pablo Prigioni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,49,49,49
"Eddie Lee Wilkins",,,,,,,,,,,,,,,,,,,,,,,,,15,39,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
"Campy Russell",,,,,,,,,,,,,,,,,,,,,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
"Quentin Grimes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46
"Toney Douglas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,45,45,45,45,45,45,45
"Reggie Bullock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44
"Jose Alvarado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
"Chris Mills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,44,44
"Ray Felix",,,,,,,,,17,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
"Landry Fields",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,43,43,43,43,43,43,43
"Anthony Bonner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
"Nazr Mohammed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,41,41,41,41,41,41,41
"Chris Copeland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,37,37,37,37
"Sonny Hertzberg",36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
"Willie Naulls",,,,,,,,,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
"Jim Cleamons",,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
"Emmette Bryant",,,,,,,,,,,21,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"Kenny Sears",,,,,,,,,,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"Terry Cummings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,32
"Shawne Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32
"Jim Barnett",,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Baron Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31
"Richie Guerin",,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Charlie Tyra",,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Sid Tanenbaum",,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Cameron Payne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30
"Steve Novak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,30,30,30,30,30
"Frank Selvy",,,,,,,,,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"Don May",,,,,,,,,,,,,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"Fred Schaus",,,,,,,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"Jared Jeffries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,27,27,27,27,27,27,27
"Neil Johnson",,,,,,,,,,,23,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
"Mike Bibby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,27,27,27,27,27
"Dick Holub",,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"Glen Gondrezick",,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"Taj Gibson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25
"Bob Peterson",,,,,,,,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Leo Gottlieb",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Mel Davis",,,,,,,,,,,,,,,,,,12,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Bojan Bogdanovic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24
"Tyler Kolek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23
"Ronny Turiaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23
"Nerlens Noel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23
"Micheal Ray Richardson",,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"Henry Walker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23
"Vin Baker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22,22,22,22
"Gene Shue",,,,,,,,,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"Willie Anderson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"Jeremy Sochan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
"Ariel Hukporti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19
"Anthony Carter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19
"Frank Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19,19
"Roger Mason",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19
"Othella Harrington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,18,18,18,18,18,18
"Joe Colone",,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"Paul Noel",,0,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"Shandon Anderson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,17,17,17
"Bill Hosket",,,,,,,,,,,,,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"Mike Sweetney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16
